;x;y
0;preface   supposing that truth is a woman--what th;e
1;reface   supposing that truth is a woman--what the;n
2;eface   supposing that truth is a woman--what then;?
3;face   supposing that truth is a woman--what then?; 
4;ace   supposing that truth is a woman--what then? ;i
5;ce   supposing that truth is a woman--what then? i;s
6;e   supposing that truth is a woman--what then? is; 
7;   supposing that truth is a woman--what then? is ;t
8;  supposing that truth is a woman--what then? is t;h
9; supposing that truth is a woman--what then? is th;e
10;supposing that truth is a woman--what then? is the;r
11;upposing that truth is a woman--what then? is ther;e
12;pposing that truth is a woman--what then? is there; 
13;posing that truth is a woman--what then? is there ;n
14;osing that truth is a woman--what then? is there n;o
15;sing that truth is a woman--what then? is there no;t
16;ing that truth is a woman--what then? is there not; 
17;ng that truth is a woman--what then? is there not ;g
18;g that truth is a woman--what then? is there not g;r
19; that truth is a woman--what then? is there not gr;o
20;that truth is a woman--what then? is there not gro;u
21;hat truth is a woman--what then? is there not grou;n
22;at truth is a woman--what then? is there not groun;d
23;t truth is a woman--what then? is there not ground; 
24; truth is a woman--what then? is there not ground ;f
25;truth is a woman--what then? is there not ground f;o
26;ruth is a woman--what then? is there not ground fo;r
27;uth is a woman--what then? is there not ground for; 
28;th is a woman--what then? is there not ground for ;s
29;h is a woman--what then? is there not ground for s;u
30; is a woman--what then? is there not ground for su;s
31;is a woman--what then? is there not ground for sus;p
32;s a woman--what then? is there not ground for susp;e
33; a woman--what then? is there not ground for suspe;c
34;a woman--what then? is there not ground for suspec;t
35; woman--what then? is there not ground for suspect;i
36;woman--what then? is there not ground for suspecti;n
37;oman--what then? is there not ground for suspectin;g
38;man--what then? is there not ground for suspecting; 
39;an--what then? is there not ground for suspecting ;t
40;n--what then? is there not ground for suspecting t;h
41;--what then? is there not ground for suspecting th;a
42;-what then? is there not ground for suspecting tha;t
43;what then? is there not ground for suspecting that; 
44;hat then? is there not ground for suspecting that ;a
45;at then? is there not ground for suspecting that a;l
46;t then? is there not ground for suspecting that al;l
47; then? is there not ground for suspecting that all; 
48;then? is there not ground for suspecting that all ;p
49;hen? is there not ground for suspecting that all p;h
50;en? is there not ground for suspecting that all ph;i
51;n? is there not ground for suspecting that all phi;l
52;? is there not ground for suspecting that all phil;o
53; is there not ground for suspecting that all philo;s
54;is there not ground for suspecting that all philos;o
55;s there not ground for suspecting that all philoso;p
56; there not ground for suspecting that all philosop;h
57;there not ground for suspecting that all philosoph;e
58;here not ground for suspecting that all philosophe;r
59;ere not ground for suspecting that all philosopher;s
60;re not ground for suspecting that all philosophers;,
61;e not ground for suspecting that all philosophers,; 
62; not ground for suspecting that all philosophers, ;i
63;not ground for suspecting that all philosophers, i;n
64;ot ground for suspecting that all philosophers, in; 
65;t ground for suspecting that all philosophers, in ;s
66; ground for suspecting that all philosophers, in s;o
67;ground for suspecting that all philosophers, in so; 
68;round for suspecting that all philosophers, in so ;f
69;ound for suspecting that all philosophers, in so f;a
70;und for suspecting that all philosophers, in so fa;r
71;nd for suspecting that all philosophers, in so far; 
72;d for suspecting that all philosophers, in so far ;a
73; for suspecting that all philosophers, in so far a;s
74;for suspecting that all philosophers, in so far as; 
75;or suspecting that all philosophers, in so far as ;t
76;r suspecting that all philosophers, in so far as t;h
77; suspecting that all philosophers, in so far as th;e
78;suspecting that all philosophers, in so far as the;y
79;uspecting that all philosophers, in so far as they; 
80;specting that all philosophers, in so far as they ;h
81;pecting that all philosophers, in so far as they h;a
82;ecting that all philosophers, in so far as they ha;v
83;cting that all philosophers, in so far as they hav;e
84;ting that all philosophers, in so far as they have; 
85;ing that all philosophers, in so far as they have ;b
86;ng that all philosophers, in so far as they have b;e
87;g that all philosophers, in so far as they have be;e
88; that all philosophers, in so far as they have bee;n
89;that all philosophers, in so far as they have been; 
90;hat all philosophers, in so far as they have been ;d
91;at all philosophers, in so far as they have been d;o
92;t all philosophers, in so far as they have been do;g
93; all philosophers, in so far as they have been dog;m
94;all philosophers, in so far as they have been dogm;a
95;ll philosophers, in so far as they have been dogma;t
96;l philosophers, in so far as they have been dogmat;i
97; philosophers, in so far as they have been dogmati;s
98;philosophers, in so far as they have been dogmatis;t
99;hilosophers, in so far as they have been dogmatist;s
100;ilosophers, in so far as they have been dogmatists;,
101;losophers, in so far as they have been dogmatists,; 
102;osophers, in so far as they have been dogmatists, ;h
103;sophers, in so far as they have been dogmatists, h;a
104;ophers, in so far as they have been dogmatists, ha;v
105;phers, in so far as they have been dogmatists, hav;e
106;hers, in so far as they have been dogmatists, have; 
107;ers, in so far as they have been dogmatists, have ;f
108;rs, in so far as they have been dogmatists, have f;a
109;s, in so far as they have been dogmatists, have fa;i
110;, in so far as they have been dogmatists, have fai;l
111; in so far as they have been dogmatists, have fail;e
112;in so far as they have been dogmatists, have faile;d
113;n so far as they have been dogmatists, have failed; 
114; so far as they have been dogmatists, have failed ;t
115;so far as they have been dogmatists, have failed t;o
116;o far as they have been dogmatists, have failed to; 
117; far as they have been dogmatists, have failed to ;u
118;far as they have been dogmatists, have failed to u;n
119;ar as they have been dogmatists, have failed to un;d
120;r as they have been dogmatists, have failed to und;e
121; as they have been dogmatists, have failed to unde;r
122;as they have been dogmatists, have failed to under;s
123;s they have been dogmatists, have failed to unders;t
124; they have been dogmatists, have failed to underst;a
125;they have been dogmatists, have failed to understa;n
126;hey have been dogmatists, have failed to understan;d
127;ey have been dogmatists, have failed to understand; 
128;y have been dogmatists, have failed to understand ;w
129; have been dogmatists, have failed to understand w;o
130;have been dogmatists, have failed to understand wo;m
131;ave been dogmatists, have failed to understand wom;e
132;ve been dogmatists, have failed to understand wome;n
133;e been dogmatists, have failed to understand women;-
134; been dogmatists, have failed to understand women-;-
135;been dogmatists, have failed to understand women--;t
136;een dogmatists, have failed to understand women--t;h
137;en dogmatists, have failed to understand women--th;a
138;n dogmatists, have failed to understand women--tha;t
139; dogmatists, have failed to understand women--that; 
140;dogmatists, have failed to understand women--that ;t
141;ogmatists, have failed to understand women--that t;h
142;gmatists, have failed to understand women--that th;e
143;matists, have failed to understand women--that the; 
144;atists, have failed to understand women--that the ;t
145;tists, have failed to understand women--that the t;e
146;ists, have failed to understand women--that the te;r
147;sts, have failed to understand women--that the ter;r
148;ts, have failed to understand women--that the terr;i
149;s, have failed to understand women--that the terri;b
150;, have failed to understand women--that the terrib;l
151; have failed to understand women--that the terribl;e
152;have failed to understand women--that the terrible; 
153;ave failed to understand women--that the terrible ;s
154;ve failed to understand women--that the terrible s;e
155;e failed to understand women--that the terrible se;r
156; failed to understand women--that the terrible ser;i
157;failed to understand women--that the terrible seri;o
158;ailed to understand women--that the terrible serio;u
159;iled to understand women--that the terrible seriou;s
160;led to understand women--that the terrible serious;n
161;ed to understand women--that the terrible seriousn;e
162;d to understand women--that the terrible seriousne;s
163; to understand women--that the terrible seriousnes;s
164;to understand women--that the terrible seriousness; 
165;o understand women--that the terrible seriousness ;a
166; understand women--that the terrible seriousness a;n
167;understand women--that the terrible seriousness an;d
168;nderstand women--that the terrible seriousness and; 
169;derstand women--that the terrible seriousness and ;c
170;erstand women--that the terrible seriousness and c;l
171;rstand women--that the terrible seriousness and cl;u
172;stand women--that the terrible seriousness and clu;m
173;tand women--that the terrible seriousness and clum;s
174;and women--that the terrible seriousness and clums;y
175;nd women--that the terrible seriousness and clumsy; 
176;d women--that the terrible seriousness and clumsy ;i
177; women--that the terrible seriousness and clumsy i;m
178;women--that the terrible seriousness and clumsy im;p
179;omen--that the terrible seriousness and clumsy imp;o
180;men--that the terrible seriousness and clumsy impo;r
181;en--that the terrible seriousness and clumsy impor;t
182;n--that the terrible seriousness and clumsy import;u
183;--that the terrible seriousness and clumsy importu;n
184;-that the terrible seriousness and clumsy importun;i
185;that the terrible seriousness and clumsy importuni;t
186;hat the terrible seriousness and clumsy importunit;y
187;at the terrible seriousness and clumsy importunity; 
188;t the terrible seriousness and clumsy importunity ;w
189; the terrible seriousness and clumsy importunity w;i
190;the terrible seriousness and clumsy importunity wi;t
191;he terrible seriousness and clumsy importunity wit;h
192;e terrible seriousness and clumsy importunity with; 
193; terrible seriousness and clumsy importunity with ;w
194;terrible seriousness and clumsy importunity with w;h
195;errible seriousness and clumsy importunity with wh;i
196;rrible seriousness and clumsy importunity with whi;c
197;rible seriousness and clumsy importunity with whic;h
198;ible seriousness and clumsy importunity with which; 
199;ble seriousness and clumsy importunity with which ;t
200;le seriousness and clumsy importunity with which t;h
201;e seriousness and clumsy importunity with which th;e
202; seriousness and clumsy importunity with which the;y
203;seriousness and clumsy importunity with which they; 
204;eriousness and clumsy importunity with which they ;h
205;riousness and clumsy importunity with which they h;a
206;iousness and clumsy importunity with which they ha;v
207;ousness and clumsy importunity with which they hav;e
208;usness and clumsy importunity with which they have; 
209;sness and clumsy importunity with which they have ;u
210;ness and clumsy importunity with which they have u;s
211;ess and clumsy importunity with which they have us;u
212;ss and clumsy importunity with which they have usu;a
213;s and clumsy importunity with which they have usua;l
214; and clumsy importunity with which they have usual;l
215;and clumsy importunity with which they have usuall;y
216;nd clumsy importunity with which they have usually; 
217;d clumsy importunity with which they have usually ;p
218; clumsy importunity with which they have usually p;a
219;clumsy importunity with which they have usually pa;i
220;lumsy importunity with which they have usually pai;d
221;umsy importunity with which they have usually paid; 
222;msy importunity with which they have usually paid ;t
223;sy importunity with which they have usually paid t;h
224;y importunity with which they have usually paid th;e
225; importunity with which they have usually paid the;i
226;importunity with which they have usually paid thei;r
227;mportunity with which they have usually paid their; 
228;portunity with which they have usually paid their ;a
229;ortunity with which they have usually paid their a;d
230;rtunity with which they have usually paid their ad;d
231;tunity with which they have usually paid their add;r
232;unity with which they have usually paid their addr;e
233;nity with which they have usually paid their addre;s
234;ity with which they have usually paid their addres;s
235;ty with which they have usually paid their address;e
236;y with which they have usually paid their addresse;s
237; with which they have usually paid their addresses; 
238;with which they have usually paid their addresses ;t
239;ith which they have usually paid their addresses t;o
240;th which they have usually paid their addresses to; 
241;h which they have usually paid their addresses to ;t
242; which they have usually paid their addresses to t;r
243;which they have usually paid their addresses to tr;u
244;hich they have usually paid their addresses to tru;t
245;ich they have usually paid their addresses to trut;h
246;ch they have usually paid their addresses to truth;,
247;h they have usually paid their addresses to truth,; 
248; they have usually paid their addresses to truth, ;h
249;they have usually paid their addresses to truth, h;a
250;hey have usually paid their addresses to truth, ha;v
251;ey have usually paid their addresses to truth, hav;e
252;y have usually paid their addresses to truth, have; 
253; have usually paid their addresses to truth, have ;b
254;have usually paid their addresses to truth, have b;e
255;ave usually paid their addresses to truth, have be;e
256;ve usually paid their addresses to truth, have bee;n
257;e usually paid their addresses to truth, have been; 
258; usually paid their addresses to truth, have been ;u
259;usually paid their addresses to truth, have been u;n
260;sually paid their addresses to truth, have been un;s
261;ually paid their addresses to truth, have been uns;k
262;ally paid their addresses to truth, have been unsk;i
263;lly paid their addresses to truth, have been unski;l
264;ly paid their addresses to truth, have been unskil;l
265;y paid their addresses to truth, have been unskill;e
266; paid their addresses to truth, have been unskille;d
267;paid their addresses to truth, have been unskilled; 
268;aid their addresses to truth, have been unskilled ;a
269;id their addresses to truth, have been unskilled a;n
270;d their addresses to truth, have been unskilled an;d
271; their addresses to truth, have been unskilled and; 
272;their addresses to truth, have been unskilled and ;u
273;heir addresses to truth, have been unskilled and u;n
274;eir addresses to truth, have been unskilled and un;s
275;ir addresses to truth, have been unskilled and uns;e
276;r addresses to truth, have been unskilled and unse;e
277; addresses to truth, have been unskilled and unsee;m
278;addresses to truth, have been unskilled and unseem;l
279;ddresses to truth, have been unskilled and unseeml;y
280;dresses to truth, have been unskilled and unseemly; 
281;resses to truth, have been unskilled and unseemly ;m
282;esses to truth, have been unskilled and unseemly m;e
283;sses to truth, have been unskilled and unseemly me;t
284;ses to truth, have been unskilled and unseemly met;h
285;es to truth, have been unskilled and unseemly meth;o
286;s to truth, have been unskilled and unseemly metho;d
287; to truth, have been unskilled and unseemly method;s
288;to truth, have been unskilled and unseemly methods; 
289;o truth, have been unskilled and unseemly methods ;f
290; truth, have been unskilled and unseemly methods f;o
291;truth, have been unskilled and unseemly methods fo;r
292;ruth, have been unskilled and unseemly methods for; 
293;uth, have been unskilled and unseemly methods for ;w
294;th, have been unskilled and unseemly methods for w;i
295;h, have been unskilled and unseemly methods for wi;n
296;, have been unskilled and unseemly methods for win;n
297; have been unskilled and unseemly methods for winn;i
298;have been unskilled and unseemly methods for winni;n
299;ave been unskilled and unseemly methods for winnin;g
300;ve been unskilled and unseemly methods for winning; 
301;e been unskilled and unseemly methods for winning ;a
302; been unskilled and unseemly methods for winning a; 
303;been unskilled and unseemly methods for winning a ;w
304;een unskilled and unseemly methods for winning a w;o
305;en unskilled and unseemly methods for winning a wo;m
306;n unskilled and unseemly methods for winning a wom;a
307; unskilled and unseemly methods for winning a woma;n
308;unskilled and unseemly methods for winning a woman;?
309;nskilled and unseemly methods for winning a woman?; 
310;skilled and unseemly methods for winning a woman? ;c
311;killed and unseemly methods for winning a woman? c;e
312;illed and unseemly methods for winning a woman? ce;r
313;lled and unseemly methods for winning a woman? cer;t
314;led and unseemly methods for winning a woman? cert;a
315;ed and unseemly methods for winning a woman? certa;i
316;d and unseemly methods for winning a woman? certai;n
317; and unseemly methods for winning a woman? certain;l
318;and unseemly methods for winning a woman? certainl;y
319;nd unseemly methods for winning a woman? certainly; 
320;d unseemly methods for winning a woman? certainly ;s
321; unseemly methods for winning a woman? certainly s;h
322;unseemly methods for winning a woman? certainly sh;e
323;nseemly methods for winning a woman? certainly she; 
324;seemly methods for winning a woman? certainly she ;h
325;eemly methods for winning a woman? certainly she h;a
326;emly methods for winning a woman? certainly she ha;s
327;mly methods for winning a woman? certainly she has; 
328;ly methods for winning a woman? certainly she has ;n
329;y methods for winning a woman? certainly she has n;e
330; methods for winning a woman? certainly she has ne;v
331;methods for winning a woman? certainly she has nev;e
332;ethods for winning a woman? certainly she has neve;r
333;thods for winning a woman? certainly she has never; 
334;hods for winning a woman? certainly she has never ;a
335;ods for winning a woman? certainly she has never a;l
336;ds for winning a woman? certainly she has never al;l
337;s for winning a woman? certainly she has never all;o
338; for winning a woman? certainly she has never allo;w
339;for winning a woman? certainly she has never allow;e
340;or winning a woman? certainly she has never allowe;d
341;r winning a woman? certainly she has never allowed; 
342; winning a woman? certainly she has never allowed ;h
343;winning a woman? certainly she has never allowed h;e
344;inning a woman? certainly she has never allowed he;r
345;nning a woman? certainly she has never allowed her;s
346;ning a woman? certainly she has never allowed hers;e
347;ing a woman? certainly she has never allowed herse;l
348;ng a woman? certainly she has never allowed hersel;f
349;g a woman? certainly she has never allowed herself; 
350; a woman? certainly she has never allowed herself ;t
351;a woman? certainly she has never allowed herself t;o
352; woman? certainly she has never allowed herself to; 
353;woman? certainly she has never allowed herself to ;b
354;oman? certainly she has never allowed herself to b;e
355;man? certainly she has never allowed herself to be; 
356;an? certainly she has never allowed herself to be ;w
357;n? certainly she has never allowed herself to be w;o
358;? certainly she has never allowed herself to be wo;n
359; certainly she has never allowed herself to be won;";"
360;"certainly she has never allowed herself to be won;"; 
361;"ertainly she has never allowed herself to be won; ";a
362;"rtainly she has never allowed herself to be won; a";n
363;"tainly she has never allowed herself to be won; an";d
364;"ainly she has never allowed herself to be won; and"; 
365;"inly she has never allowed herself to be won; and ";a
366;"nly she has never allowed herself to be won; and a";t
367;"ly she has never allowed herself to be won; and at"; 
368;"y she has never allowed herself to be won; and at ";p
369;" she has never allowed herself to be won; and at p";r
370;"she has never allowed herself to be won; and at pr";e
371;"he has never allowed herself to be won; and at pre";s
372;"e has never allowed herself to be won; and at pres";e
373;" has never allowed herself to be won; and at prese";n
374;"has never allowed herself to be won; and at presen";t
375;"as never allowed herself to be won; and at present"; 
376;"s never allowed herself to be won; and at present ";e
377;" never allowed herself to be won; and at present e";v
378;"never allowed herself to be won; and at present ev";e
379;"ever allowed herself to be won; and at present eve";r
380;"ver allowed herself to be won; and at present ever";y
381;"er allowed herself to be won; and at present every"; 
382;"r allowed herself to be won; and at present every ";k
383;" allowed herself to be won; and at present every k";i
384;"allowed herself to be won; and at present every ki";n
385;"llowed herself to be won; and at present every kin";d
386;"lowed herself to be won; and at present every kind"; 
387;"owed herself to be won; and at present every kind ";o
388;"wed herself to be won; and at present every kind o";f
389;"ed herself to be won; and at present every kind of"; 
390;"d herself to be won; and at present every kind of ";d
391;" herself to be won; and at present every kind of d";o
392;"herself to be won; and at present every kind of do";g
393;"erself to be won; and at present every kind of dog";m
394;"rself to be won; and at present every kind of dogm";a
395;"self to be won; and at present every kind of dogma"; 
396;"elf to be won; and at present every kind of dogma ";s
397;"lf to be won; and at present every kind of dogma s";t
398;"f to be won; and at present every kind of dogma st";a
399;" to be won; and at present every kind of dogma sta";n
400;"to be won; and at present every kind of dogma stan";d
401;"o be won; and at present every kind of dogma stand";s
402;" be won; and at present every kind of dogma stands"; 
403;"be won; and at present every kind of dogma stands ";w
404;"e won; and at present every kind of dogma stands w";i
405;" won; and at present every kind of dogma stands wi";t
406;"won; and at present every kind of dogma stands wit";h
407;"on; and at present every kind of dogma stands with"; 
408;"n; and at present every kind of dogma stands with ";s
409;"; and at present every kind of dogma stands with s";a
410; and at present every kind of dogma stands with sa;d
411;and at present every kind of dogma stands with sad; 
412;nd at present every kind of dogma stands with sad ;a
413;d at present every kind of dogma stands with sad a;n
414; at present every kind of dogma stands with sad an;d
415;at present every kind of dogma stands with sad and; 
416;t present every kind of dogma stands with sad and ;d
417; present every kind of dogma stands with sad and d;i
418;present every kind of dogma stands with sad and di;s
419;resent every kind of dogma stands with sad and dis;c
420;esent every kind of dogma stands with sad and disc;o
421;sent every kind of dogma stands with sad and disco;u
422;ent every kind of dogma stands with sad and discou;r
423;nt every kind of dogma stands with sad and discour;a
424;t every kind of dogma stands with sad and discoura;g
425; every kind of dogma stands with sad and discourag;e
426;every kind of dogma stands with sad and discourage;d
427;very kind of dogma stands with sad and discouraged; 
428;ery kind of dogma stands with sad and discouraged ;m
429;ry kind of dogma stands with sad and discouraged m;i
430;y kind of dogma stands with sad and discouraged mi;e
431; kind of dogma stands with sad and discouraged mie;n
432;kind of dogma stands with sad and discouraged mien;-
433;ind of dogma stands with sad and discouraged mien-;-
434;nd of dogma stands with sad and discouraged mien--;i
435;d of dogma stands with sad and discouraged mien--i;f
436; of dogma stands with sad and discouraged mien--if;,
437;of dogma stands with sad and discouraged mien--if,; 
438;f dogma stands with sad and discouraged mien--if, ;i
439; dogma stands with sad and discouraged mien--if, i;n
440;dogma stands with sad and discouraged mien--if, in;d
441;ogma stands with sad and discouraged mien--if, ind;e
442;gma stands with sad and discouraged mien--if, inde;e
443;ma stands with sad and discouraged mien--if, indee;d
