;x;y
0;[35, 21, 26, 53, 37, 25, 26, 17, 17, 17, 15, 54, 35, 35, 11, 15, 38, 29, 41, 17, 39, 55, 37, 39, 17, 39, 21, 54, 39, 55, 17, 38, 15, 17, 37, 17, 24, 11, 30, 37, 29, 5, 5, 24, 55, 37, 39, 17, 39, 55];26
1;[21, 26, 53, 37, 25, 26, 17, 17, 17, 15, 54, 35, 35, 11, 15, 38, 29, 41, 17, 39, 55, 37, 39, 17, 39, 21, 54, 39, 55, 17, 38, 15, 17, 37, 17, 24, 11, 30, 37, 29, 5, 5, 24, 55, 37, 39, 17, 39, 55, 26];29
2;[26, 53, 37, 25, 26, 17, 17, 17, 15, 54, 35, 35, 11, 15, 38, 29, 41, 17, 39, 55, 37, 39, 17, 39, 21, 54, 39, 55, 17, 38, 15, 17, 37, 17, 24, 11, 30, 37, 29, 5, 5, 24, 55, 37, 39, 17, 39, 55, 26, 29];28
3;[53, 37, 25, 26, 17, 17, 17, 15, 54, 35, 35, 11, 15, 38, 29, 41, 17, 39, 55, 37, 39, 17, 39, 21, 54, 39, 55, 17, 38, 15, 17, 37, 17, 24, 11, 30, 37, 29, 5, 5, 24, 55, 37, 39, 17, 39, 55, 26, 29, 28];17
4;[37, 25, 26, 17, 17, 17, 15, 54, 35, 35, 11, 15, 38, 29, 41, 17, 39, 55, 37, 39, 17, 39, 21, 54, 39, 55, 17, 38, 15, 17, 37, 17, 24, 11, 30, 37, 29, 5, 5, 24, 55, 37, 39, 17, 39, 55, 26, 29, 28, 17];38
5;[25, 26, 17, 17, 17, 15, 54, 35, 35, 11, 15, 38, 29, 41, 17, 39, 55, 37, 39, 17, 39, 21, 54, 39, 55, 17, 38, 15, 17, 37, 17, 24, 11, 30, 37, 29, 5, 5, 24, 55, 37, 39, 17, 39, 55, 26, 29, 28, 17, 38];15
6;[26, 17, 17, 17, 15, 54, 35, 35, 11, 15, 38, 29, 41, 17, 39, 55, 37, 39, 17, 39, 21, 54, 39, 55, 17, 38, 15, 17, 37, 17, 24, 11, 30, 37, 29, 5, 5, 24, 55, 37, 39, 17, 39, 55, 26, 29, 28, 17, 38, 15];17
7;[17, 17, 17, 15, 54, 35, 35, 11, 15, 38, 29, 41, 17, 39, 55, 37, 39, 17, 39, 21, 54, 39, 55, 17, 38, 15, 17, 37, 17, 24, 11, 30, 37, 29, 5, 5, 24, 55, 37, 39, 17, 39, 55, 26, 29, 28, 17, 38, 15, 17];39
8;[17, 17, 15, 54, 35, 35, 11, 15, 38, 29, 41, 17, 39, 55, 37, 39, 17, 39, 21, 54, 39, 55, 17, 38, 15, 17, 37, 17, 24, 11, 30, 37, 29, 5, 5, 24, 55, 37, 39, 17, 39, 55, 26, 29, 28, 17, 38, 15, 17, 39];55
9;[17, 15, 54, 35, 35, 11, 15, 38, 29, 41, 17, 39, 55, 37, 39, 17, 39, 21, 54, 39, 55, 17, 38, 15, 17, 37, 17, 24, 11, 30, 37, 29, 5, 5, 24, 55, 37, 39, 17, 39, 55, 26, 29, 28, 17, 38, 15, 17, 39, 55];26
10;[15, 54, 35, 35, 11, 15, 38, 29, 41, 17, 39, 55, 37, 39, 17, 39, 21, 54, 39, 55, 17, 38, 15, 17, 37, 17, 24, 11, 30, 37, 29, 5, 5, 24, 55, 37, 39, 17, 39, 55, 26, 29, 28, 17, 38, 15, 17, 39, 55, 26];21
11;[54, 35, 35, 11, 15, 38, 29, 41, 17, 39, 55, 37, 39, 17, 39, 21, 54, 39, 55, 17, 38, 15, 17, 37, 17, 24, 11, 30, 37, 29, 5, 5, 24, 55, 37, 39, 17, 39, 55, 26, 29, 28, 17, 38, 15, 17, 39, 55, 26, 21];26
